id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
375;Jiló;Não se aplica;22;1.87;0.21;4.51;2.5
376;Maxixe;Cru(a);14;1.4;0.1;2.7;2.2
377;Maxixe;Cozido(a);14;0.4;0.2;3.04;1
378;Maxixe;Refogado(a);36.94;0.4;2.8;3.04;1
379;Maxixe;Ensopado;36.94;0.4;2.8;3.04;1
380;Pepininho (maxixe);Cozido(a);14;0.4;0.2;3.04;1
381;Pepininho (maxixe);Ao vinagrete;14;0.4;0.2;3.04;1
382;Palmito in natura;Cru(a);28;2.52;0.62;4.62;2.4
383;Palmito in natura;Cozido(a);28;2.52;0.62;4.62;2.4
384;Palmito in natura;Refogado(a);28;2.52;0.62;4.62;2.4
385;Palmito in natura;Ensopado;28;2.52;0.62;4.62;2.4
386;Guariroba (palmito in natura);Cozido(a);28;2.52;0.62;4.62;2.4
387;Guariroba (palmito in natura);Refogado(a);28;2.52;0.62;4.62;2.4
388;Guariroba (palmito in natura);Molho vermelho;28;2.52;0.62;4.62;2.4
389;Gueroba (palmito in natura);Cozido(a);28;2.52;0.62;4.62;2.4
